Symbol,url
MMM,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/mmm-20191231x10k62bf35.htm
ABT,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/abt-20191231x10k59d41b.htm
ABBV,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/abbv-20191231x10k.htm
ABMD,https://www.sec.gov/Archives/edgar/data/815094/000156459019020329/abmd-10k_20190331.htm
ACN,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000339/acn831201910k.htm
ATVI,https://www.sec.gov/Archives/edgar/data/718877/000071887720000003/atvi-12312019x10xk.htm
ADBE,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm
AMD,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm
AAP,https://www.sec.gov/Archives/edgar/data/1158449/000115844920000035/aap10k12282019secreport.htm
AES,https://www.sec.gov/Archives/edgar/data/874761/000087476120000012/a2019form10-k.htm
AFL,https://www.sec.gov/Archives/edgar/data/4977/000000497720000044/afl12311910k.htm
A,https://www.sec.gov/Archives/edgar/data/1090872/000109087219000022/a-10312019x10k.htm
APD,https://www.sec.gov/Archives/edgar/data/2969/000000296919000051/apd-10xkx30sep19.htm
AKAM,https://www.sec.gov/Archives/edgar/data/1086222/000108622220000045/akam10k123119.htm
ALK,https://www.sec.gov/Archives/edgar/data/766421/000076642120000013/alk-20191231.htm
ALB,https://www.sec.gov/Archives/edgar/data/915913/000091591320000040/a1231201910-kdocument.htm
ARE,https://www.sec.gov/Archives/edgar/data/1035443/000103544320000042/a4q1910-k.htm
ALXN,https://www.sec.gov/Archives/edgar/data/899866/000089986620000012/alxn10k12312019.htm
ALGN,https://www.sec.gov/Archives/edgar/data/1097149/000109714920000008/algn-20191231x10k.htm
ALLE,https://www.sec.gov/Archives/edgar/data/1579241/000157924120000013/alle10k12312019doc.htm
LNT,https://www.sec.gov/Archives/edgar/data/52485/000035254120000021/lnt1231201910-k.htm
ALL,https://www.sec.gov/Archives/edgar/data/899051/000089905120000013/allcorp-12311910xk.htm
