,tic,url,supply_chain_risk,regulatory_risk,inflationary_risk,macro_risk,debt_risk,liquidity_risk,doctype
1,MMM,https://www.sec.gov/Archives/edgar/data/66740/000155837020000581/mmm-20191231x10k62bf35.htm,3.0,6.0,1.0,4.0,1.0,0.0,Risk Section
2,ABT,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/abt-20191231x10k59d41b.htm,4.0,7.0,2.0,5.0,3.0,1.0,Risk Section
3,ABBV,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000007/abbv-20191231x10k.htm,2.0,7.0,2.0,3.0,4.0,0.0,Risk Section
4,ABMD,https://www.sec.gov/Archives/edgar/data/815094/000156459019020329/abmd-10k_20190331.htm,3.0,11.0,0.0,7.0,1.0,2.0,Risk Section
5,ACN,https://www.sec.gov/Archives/edgar/data/1467373/000146737319000339/acn831201910k.htm,4.0,10.0,1.0,6.0,2.0,0.0,Risk Section
6,ATVI,https://www.sec.gov/Archives/edgar/data/718877/000071887720000003/atvi-12312019x10xk.htm,2.0,7.0,0.0,5.0,3.0,1.0,Risk Section
7,ADBE,https://www.sec.gov/Archives/edgar/data/796343/000079634320000013/adbe10kfy19.htm,5.0,6.0,0.0,4.0,3.0,3.0,Risk Section
8,AMD,https://www.sec.gov/Archives/edgar/data/2488/000000248820000008/amdform10-kfy2019.htm,11.0,1.0,0.0,8.0,3.0,0.0,Risk Section
9,AAP,https://www.sec.gov/Archives/edgar/data/1158449/000115844920000035/aap10k12282019secreport.htm,6.0,3.0,0.0,1.0,0.0,0.0,Risk Section
10,AES,https://www.sec.gov/Archives/edgar/data/874761/000087476120000012/a2019form10-k.htm,0.0,0.0,0.0,0.0,0.0,0.0,Risk Section
11,AFL,https://www.sec.gov/Archives/edgar/data/4977/000000497720000044/afl12311910k.htm,3.0,17.0,1.0,13.0,13.0,11.0,Risk Section
12,A,https://www.sec.gov/Archives/edgar/data/1090872/000109087219000022/a-10312019x10k.htm,2.0,3.0,0.0,1.0,0.0,2.0,Risk Section
13,APD,https://www.sec.gov/Archives/edgar/data/2969/000000296919000051/apd-10xkx30sep19.htm,6.0,9.0,0.0,6.0,2.0,0.0,Risk Section
